solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,fortran-original,2,128,128,2048,16384,1024,1024,0,10,device,  4.4608571999999999E-02,  4.4581841499999997E-02
tdma,fortran-original,2,128,128,2048,16384,1024,1024,1,10,device,  2.1200720000000006E-03,  2.1177885000000021E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,2,10,device,  2.1286849999999982E-03,  2.1260959999999975E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,3,10,device,  2.1243979999999996E-03,  2.1224899999999977E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,4,10,device,  2.1276929999999999E-03,  2.1245029999999998E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,5,10,device,  2.1246379999999981E-03,  2.1223094999999990E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,6,10,device,  2.1341120000000005E-03,  2.1305170000000019E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,7,10,device,  2.1274829999999995E-03,  2.1238875000000011E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,8,10,device,  2.1230760000000015E-03,  2.1182335000000004E-03
tdma,fortran-original,2,128,128,2048,16384,1024,1024,9,10,device,  2.1245479999999969E-03,  2.1221949999999969E-03
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,0,10,host,0.030687702,0.030684487
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,1,10,host,0.00339204,0.0033898015
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,2,10,host,0.00234542,0.002342831
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,3,10,host,0.002348103,0.002343832
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,4,10,host,0.002348264,0.002344578
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,5,10,host,0.002354413,0.0023518195
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,6,10,host,0.002346321,0.0023433665
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,7,10,host,0.002349866,0.0023467265
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,8,10,host,0.002348604,0.0023458805
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,9,10,host,0.002346651,0.0023434715
tdma,fortran-original,2,128,128,4096,16384,2048,2048,0,10,device,  4.6695093000000000E-02,  4.6692944500000000E-02
tdma,fortran-original,2,128,128,4096,16384,2048,2048,1,10,device,  4.1812040000000009E-03,  4.1793515000000010E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,2,10,device,  4.1811749999999953E-03,  4.1793070000000002E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,3,10,device,  4.1784100000000005E-03,  4.1775684999999993E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,4,10,device,  4.1734329999999972E-03,  4.1721910000000022E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,5,10,device,  4.2066230000000066E-03,  4.2048950000000071E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,6,10,device,  4.1759570000000079E-03,  4.1746900000000087E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,7,10,device,  4.1774489999999997E-03,  4.1772534999999986E-03
tdma,fortran-original,2,128,128,4096,16384,2048,2048,8,10,device,  4.1869830000000052E-03,  4.1846500000000050E-03
